剿	jcvn
剿	ikvn
剷	ijyn
剽	pcmn
劃	hwln
劃	hwln
劇	juyn
劈	pish
劈	pish
劉	lqhn
劍	jmon
劑	jiyn
力	liks
加	jwkr
功	gsms
劣	lxfs
劫	jxgs
助	vubs
助	iubs
努	nuvs
劬	qups
劾	heys
勇	ysns
勉	mmns
勃	bojs
勃	bzjs
勁	jnms
勁	jyms
勒	lets
勒	lzts
務	wuns
勘	kjts
動	dshs
勞	lkfs
勝	ugbs
勛	xprs
募	muts
勦	jcvs
勦	ikvs
勤	qnts
勢	uigs
勵	lims
勸	qrts
勻	yppm
勾	gbpi
勾	gbpi
勿	wuph
包	bkpu
匆	cspk
匈	xspk
匍	pupb
匐	fupw
匏	pkku
匕	biuh
化	hwop
化	hwop
北	bzlp
北	bzlp
匙	iiap
匙	uiap
匝	zasb
匡	kdsg
匠	jdsl
匣	xwsl
匪	fzsy
匯	hvsg
匱	kvsc
匱	gvsc
匹	pisc
匿	nisr
區	qusr
區	bsr
匾	bmsb
十	uij
千	qmhj
午	wuoj
升	ught
卅	satj
仟	qmoj
半	bjfq
卉	hvjt
卒	zuyj
卒	cuyj
協	xxjs
卓	voyj
卑	bzhj
南	njjj
南	najj
博	boji
卜	buy
卜	boy
卞	bmyy
卡	kayy
卡	qwyy
占	vjyr
占	vjyr
卦	gwgy
卯	mkhl
卮	vihu
印	ynhl
危	wznu
即	jial
卵	lrhi
卷	jrfu
卷	jrfu
卸	xxol
卹	xuhl
卻	qtcl
卿	qyhl
厄	emu
厚	hbmd
原	yrmf
厝	coma
厥	jtmo
厭	yjmk
厲	limb
去	qugi
參	cjih
參	ufih
參	cfih
參	sjih
又	ybnk
叉	iaei
叉	iaei
叉	iaei
友	ybke
及	jine
反	fjhe
取	quse
叔	uuye
受	ubbe
叛	pjfe
叟	sbhe
曼	mjae
叢	cste
口	kbr
可	kemr
可	kemr
古	gujr
右	ybkr
召	vksr
召	uksr
叮	dyrn
叩	kbrl
叨	tkrh
叨	dkrh
叼	dcrm
司	sisr
叵	posr
叫	jcrl
另	lyrs
只	virc
只	virc
史	uilk
叱	iirp
台	tlir
台	tlir
句	jupr
句	gbpr
叭	barc
吉	jigr
吏	lijk
同	tsbr
同	tsbr
吊	dcrb
吐	turg
吐	turg
吁	xurd
吁	yurd
吋	dbri
吋	cpri
各	gehr
各	gehr
向	xdhr
名	mynr
合	heor
合	geor
吃	iirn
后	hbhr
吆	ykri
吒	varp
吒	varp
吝	lnyr
吭	hhrn
吭	kgrn
吞	tpmr
吾	wumr
吾	yumr
否	fbmr
否	pimr
呎	iiro
吧	baru
吧	baru
呆	dlrd
呃	eru
吳	wurk
呈	igrg
呂	lvrr
君	jpsr
吩	ffrh
告	gkhr
吹	ivro
吻	wfrh
吸	xire
吮	upru
吵	ikrh
吵	ikrh
吶	narb
吶	nerb
吠	fzrk
吼	hbru
呀	yarh
呀	yarh
吱	vire
吱	zire
含	hjor
吟	ynrn
味	wzrd
呵	herr
呵	arr
呵	kerr
咖	karr
咖	garr
呸	pzrm
咕	gurr
咀	jurm
咀	zvrm
呻	ufrl
呷	xwrl
呷	garl
咄	doru
咒	vbrn
咆	pkru
呼	hurd
咐	furi
呱	gwro
呱	guro
呱	gwro
呶	nkre
和	hehr
和	hehr
和	hohr
和	hohr
和	huhr
咚	dsry
呢	nerp
呢	nirp
周	vbbr
咋	zars
咋	zers
咋	vars
命	myol
咎	jqhr
咬	ykrk
哀	lyv
咨	zimr
哎	lrk
哉	zljr
咸	xmir
咦	yirn
咳	kero
咳	hlro
哇	warg
哇	warg
哂	ufrw
咽	yjrk
咽	yjrk
咽	yerk
咪	mird
品	pnrr
哄	hsrc
哄	hsrc
哄	hsrc
哈	harr
哈	harr
哈	harr
咯	lorr
咯	karr
咯	lorr
咯	gerr
咫	visc
咱	zjru
咱	zaru
咱	zaru
咻	xqrd
哨	ukrb
唐	thir
唁	yjrr
唷	yorb
哼	hgrn
哼	hgrn
哥	gemr
哲	veqr
唆	sore
哺	burb
唔	wurr
唔	wurr
唔	grr
唔	frr
哩	lirg
哩	lirg
哩	lirg
哭	kurk
員	yrrc
員	yprc
員	yprc
唉	lrk
唉	lrk
哮	xcrd
哪	narl
哪	nzrl
哪	narl
哪	nerl
哦	ori
哦	ori
哦	eri
唧	jirl
商	uhyr
啪	para
啦	lart
啦	lart
啄	voro
啞	yarm
啞	yarm
啡	fzry
啃	kfrb
啊	arr
啊	arr
啊	arr
啊	arr
啊	arr
唱	ihra
啖	djrf
問	wfar
啕	tkru
唯	wzrg
啤	pirj
唸	nmrp
售	ubor
啜	iore
啜	iyre
唬	huru
唬	xwru
啣	xmrl
唳	lirk
啻	iiyr
喀	karr
喧	xrrm
啼	tirb
喊	hjrr
喝	herv
喝	herv
喝	yerv
喘	irrb
喂	wzrv
喜	xigr
喪	shgv
喪	shgv
喔	org
