一	yī
夷	yí
轨	guǐ
邪	xié
邪	yá
邪	yé
邪	yú
邪	xú
尧	yáo
划	huá
划	huà
划	huai
划	guò
划	guǒ
迈	mài
毕	bì
至	zhì
此	cǐ
贞	zhēn
师	shī
尘	chén
尖	jiān
劣	liè
光	guāng
当	dāng
当	dàng
早	zǎo
吁	xū
吁	yù
吐	tǔ
吐	tù
吓	xià
吓	hè
虫	chóng
曲	qū
曲	qǔ
团	tuán
吕	lǚ
同	tóng
同	tòng
吊	diào
吃	chī
因	yīn
吸	xī
吗	má
吗	mǎ
吗	ma
吆	yāo
屿	yǔ
屹	yì
岁	suì
帆	fān
回	huí
岂	qǐ
岂	kǎi
则	zé
刚	gāng
网	wǎng
肉	ròu
年	nián
朱	zhū
朱	shú
先	xiān
丢	diū
廷	tíng
舌	shé
竹	zhú
迁	qiān
乔	qiáo
迄	qì
伟	wěi
传	chuán
传	zhuàn
乒	pīng
乓	pāng
休	xiū
休	xǔ
伍	wǔ
伏	fú
优	yōu
臼	jiù
伐	fá
延	yán
仲	zhòng
件	jiàn
任	rèn
任	rén
伤	shāng
价	jià
价	jiè
价	jie
伦	lún
份	fèn
份	bīn
华	huá
华	huà
华	huā
仰	yǎng
仰	áng
仿	fǎng
伙	huǒ
伪	wěi
自	zì
伊	yī
血	xiě
血	xuè
向	xiàng
似	sì
似	shì
后	hòu
行	háng
行	xíng
行	héng
行	hàng
舟	zhōu
全	quán
会	huì
会	kuài
杀	shā
合	hé
合	gě
兆	zhào
企	qǐ
众	zhòng
爷	yé
伞	sǎn
创	chuàng
创	chuāng
肌	jī
肋	lèi
肋	lē
朵	duǒ
杂	zá
危	wēi
旬	xún
旨	zhǐ
旭	xù
负	fù
匈	xiōng
名	míng
各	gè
各	gě
多	duō
争	zhēng
色	sè
色	shǎi
壮	zhuàng
冲	chōng
冲	chòng
妆	zhuāng
冰	bīng
庄	zhuāng
庆	qìng
亦	yì
刘	liú
齐	qí
齐	jì
齐	zī
齐	zhāi
交	jiāo
衣	yī
次	cì
产	chǎn
决	jué
亥	hài
充	chōng
妄	wàng
闭	bì
问	wèn
闯	chuǎng
羊	yáng
羊	xiáng
并	bìng
并	bīng
关	guān
米	mǐ
灯	dēng
州	zhōu
汗	hàn
汗	hán
污	wū
江	jiāng
汛	xùn
池	chí
汝	rǔ
汤	tāng
汤	shāng
忙	máng
兴	xīng
兴	xìng
宇	yǔ
守	shǒu
宅	zhái
字	zì
安	ān
讲	jiǎng
讳	huì
军	jūn
讶	yà
许	xǔ
许	hǔ
讹	é
论	lùn
论	lún
讼	sòng
农	nóng
讽	fěng
设	shè
访	fǎng
诀	jué
寻	xún
那	nà
那	nǎ
那	nèi
那	nā
那	nè
那	nuó
迅	xùn
尽	jìn
尽	jǐn
导	dǎo
异	yì
弛	chí
孙	sūn
孙	xùn
阵	zhèn
阳	yáng
收	shōu
阶	jiē
阴	yīn
防	fáng
奸	jiān
如	rú
妇	fù
妃	fēi
妃	pèi
好	hǎo
好	hào
她	tā
她	jiě
妈	mā
戏	xì
戏	hū
羽	yǔ
观	guān
观	guàn
欢	huān
买	mǎi
红	hóng
红	gōng
驮	tuó
驮	duò
纤	xiān
纤	qiàn
驯	xùn
约	yuē
约	yāo
级	jí
纪	jì
纪	jǐ
驰	chí
纫	rèn
巡	xún
寿	shòu
弄	nòng
弄	lòng
麦	mài
玖	jiǔ
玛	mǎ
形	xíng
进	jìn
戒	jiè
吞	tūn
远	yuǎn
远	yuàn
违	wéi
韧	rèn
运	yùn
扶	fú
抚	fǔ
坛	tán
技	jì
坏	huài
坏	pēi
坏	pī
坏	péi
抠	kōu
扰	rǎo
扼	è
拒	jù
找	zhǎo
批	pī
址	zhǐ
扯	chě
走	zǒu
抄	chāo
贡	gòng
汞	gǒng
坝	bà
攻	gōng
赤	chì
折	zhē
折	zhé
折	shé
抓	zhuā
扳	bān
抡	lūn
抡	lún
扮	bàn
抢	qiāng
抢	qiǎng
抢	chēng
孝	xiào
坎	kǎn
均	jūn
抑	yì
抛	pāo
投	tóu
坟	fén
坑	kēng
抗	kàng
坊	fāng
坊	fáng
抖	dǒu
护	hù
壳	ké
壳	qiào
志	zhì
块	kuài
扭	niǔ
声	shēng
把	bǎ
把	bà
报	bào
拟	nǐ
却	què
抒	shū
劫	jié
芙	fú
芜	wú
苇	wěi
芽	yá
花	huā
芹	qín
芥	jiè
芥	gài
芬	fēn
苍	cāng
芳	fāng
严	yán
芦	lú
芯	xīn
芯	xìn
劳	láo
克	kè
芭	bā
苏	sū
苏	sù
杆	gān
杆	gǎn
杠	gàng
杠	gāng
杜	dù
材	cái
村	cūn
杖	zhàng
杏	xìng
杉	shān
杉	shā
巫	wū
极	jí
李	lǐ
杨	yáng
求	qiú
甫	fǔ
匣	xiá
更	gēng
更	gèng
束	shù
