一	yī
屏	píng
屏	bǐng
屎	shǐ
费	fèi
陡	dǒu
逊	xùn
眉	méi
孩	hái
陨	yǔn
除	chú
险	xiǎn
院	yuàn
娃	wá
姥	mǔ
姥	lǎo
姨	yí
姻	yīn
娇	jiāo
姚	yáo
娜	nà
娜	nuó
怒	nù
架	jià
贺	hè
盈	yíng
勇	yǒng
怠	dài
癸	guǐ
蚤	zǎo
柔	róu
垒	lěi
绑	bǎng
绒	róng
结	jié
结	jiē
绕	rào
骄	jiāo
绘	huì
给	gěi
给	jǐ
绚	xuàn
骆	luò
络	luò
络	lào
绝	jué
绞	jiǎo
骇	hài
统	tǒng
耕	gēng
耘	yún
耗	hào
耙	bà
耙	pá
艳	yàn
泰	tài
秦	qín
珠	zhū
班	bān
素	sù
匿	nì
蚕	cán
顽	wán
盏	zhǎn
匪	fěi
捞	lāo
栽	zāi
捕	bǔ
埂	gěng
捂	wǔ
振	zhèn
载	zǎi
载	zài
赶	gǎn
起	qǐ
盐	yán
捎	shāo
捎	shào
捍	hàn
捏	niē
埋	mái
埋	mán
捉	zhuō
捆	kǔn
捐	juān
损	sǔn
袁	yuán
捌	bā
都	dōu
都	dū
哲	zhé
逝	shì
捡	jiǎn
挫	cuò
换	huàn
挽	wǎn
挚	zhì
热	rè
恐	kǒng
捣	dǎo
壶	hú
捅	tǒng
埃	āi
挨	āi
挨	ái
耻	chǐ
耿	gěng
耽	dān
聂	niè
恭	gōng
莽	mǎng
莱	lái
莲	lián
莫	mò
莫	mù
莉	lì
荷	hé
获	huò
晋	jìn
恶	è
恶	wù
恶	ě
恶	wū
莹	yíng
莺	yīng
真	zhēn
框	kuàng
梆	bāng
桂	guì
桔	jié
桔	jú
栖	qī
栖	xī
档	dàng
桐	tóng
株	zhū
桥	qiáo
桦	huà
栓	shuān
桃	táo
格	gé
桩	zhuāng
校	xiào
校	jiào
核	hé
核	hú
样	yàng
根	gēn
索	suǒ
哥	gē
速	sù
逗	dòu
栗	lì
贾	gǔ
贾	jiǎ
酌	zhuó
配	pèi
翅	chì
辱	rǔ
唇	chún
夏	xià
砸	zá
砰	pēng
砾	lì
础	chǔ
破	pò
原	yuán
套	tào
逐	zhú
烈	liè
殊	shū
殉	xùn
顾	gù
轿	jiào
较	jiào
顿	dùn
顿	dú
毙	bì
致	zhì
柴	chái
桌	zhuō
虑	lǜ
监	jiān
监	jiàn
紧	jǐn
党	dǎng
逞	chěng
晒	shài
眠	mián
晓	xiǎo
哮	xiào
唠	lào
唠	láo
鸭	yā
晃	huǎng
晃	huàng
哺	bǔ
晌	shǎng
剔	tī
晕	yùn
晕	yūn
蚌	bàng
蚌	bèng
畔	pàn
蚣	gōng
蚣	zhōng
蚊	wén
蚪	dǒu
蚓	yǐn
哨	shào
哩	li
哩	lǐ
哩	lī
圃	pǔ
哭	kū
哦	ó
哦	ò
哦	é
恩	ēn
鸯	yāng
唤	huàn
唁	yàn
哼	hēng
哼	hng
唧	jī
啊	ā
啊	á
啊	ǎ
啊	à
啊	a
唉	āi
唉	ài
唆	suō
罢	bà
罢	ba
罢	pí
峭	qiào
峨	é
峰	fēng
圆	yuán
峻	jùn
贼	zéi
贿	huì
赂	lù
赃	zāng
钱	qián
钳	qián
钻	zuān
钻	zuàn
钾	jiǎ
铁	tiě
铃	líng
铅	qiān
铅	yán
缺	quē
氧	yǎng
氨	ān
特	tè
牺	xī
造	zào
乘	chéng
乘	shèng
敌	dí
秤	chèng
租	zū
积	jī
秧	yāng
秩	zhì
称	chēng
称	chèn
称	chèng
秘	mì
秘	bì
透	tòu
笔	bǐ
笑	xiào
笋	sǔn
债	zhài
借	jiè
值	zhí
倚	yǐ
俺	ǎn
倾	qīng
倒	dǎo
倒	dào
倘	tǎng
倘	cháng
俱	jù
倡	chàng
倡	chāng
候	hòu
赁	lìn
俯	fǔ
倍	bèi
倦	juàn
健	jiàn
臭	chòu
臭	xiù
射	shè
射	yè
射	yì
躬	gōng
息	xī
倔	jué
倔	juè
徒	tú
徐	xú
殷	yīn
殷	yān
殷	yǐn
舰	jiàn
舱	cāng
般	bān
般	bō
般	pán
航	háng
途	tú
拿	ná
耸	sǒng
爹	diē
舀	yǎo
爱	ài
豺	chái
豹	bào
颁	bān
颂	sòng
翁	wēng
胰	yí
脆	cuì
脂	zhī
胸	xiōng
胳	gē
胳	gé
脏	zàng
脐	qí
胶	jiāo
脑	nǎo
脓	nóng
逛	guàng
狸	lí
狼	láng
卿	qīng
逢	féng
鸵	tuó
留	liú
鸳	yuān
皱	zhòu
饿	è
馁	něi
凌	líng
凄	qī
恋	liàn
桨	jiǎng
浆	jiāng
浆	jiàng
衰	shuāi
衰	cuī
衷	zhōng
高	gāo
郭	guō
席	xí
准	zhǔn
座	zuò
症	zhèng
症	zhēng
病	bìng
疾	jí
斋	zhāi
疹	zhěn
疼	téng
疲	pí
脊	jǐ
效	xiào
离	lí
紊	wěn
唐	táng
瓷	cí
资	zī
凉	liáng
凉	liàng
站	zhàn
剖	pōu
竞	jìng
部	bù
旁	páng
旁	bàng
旅	lǚ
畜	xù
畜	chù
阅	yuè
羞	xiū
羔	gāo
瓶	píng
拳	quán
粉	fěn
料	liào
益	yì
兼	jiān
烤	kǎo
烘	hōng
烦	fán
烧	shāo
烛	zhú
烟	yān
烙	lào
烙	luò
递	dì
涛	tāo
浙	zhè
涝	lào
浦	pǔ
酒	jiǔ
涉	shè
消	xiāo
涡	wō
涡	guō
浩	hào
海	hǎi
涂	tú
浴	yù
浮	fú
涣	huàn
涤	dí
流	liú
润	rùn
涧	jiàn
涕	tì
浪	làng
浸	jìn
涨	zhǎng
涨	zhàng
烫	tàng
涩	sè
涌	yǒng
涌	chōng
悖	bèi
悟	wù
悄	qiǎo
悄	qiāo
悍	hàn
悔	huǐ
悯	mǐn
悦	yuè
害	hài
宽	kuān
家	jiā
家	jia
家	jie
宵	xiāo
宴	yàn
宾	bīn
窍	qiào
窄	zhǎi
容	róng
宰	zǎi
案	àn
请	qǐng
朗	lǎng
诸	zhū
诺	nuò
读	dú
读	dòu
扇	shàn
扇	shān
诽	fěi
袜	wà
袖	xiù
袍	páo
被	bèi
被	pī
祥	xiáng
课	kè
冥	míng
谁	shuí
谁	shéi
调	tiáo
调	diào
调	zhōu
冤	yuān
谅	liàng
谆	zhūn
谈	tán
谊	yì
剥	bāo
剥	bō
恳	kěn
展	zhǎn
剧	jù
屑	xiè
弱	ruò
陵	líng
祟	suì
陶	táo
陶	yáo
陷	xiàn
陪	péi
娱	yú
娟	juān
恕	shù
娥	é
娘	niáng
通	tōng
能	néng
能	nài
难	nán
难	nàn
难	nuó
预	yù
桑	sāng
绢	juàn
绣	xiù
验	yàn
继	jì
骏	jùn
球	qiú
琐	suǒ
理	lǐ
琉	liú
琅	láng
捧	pěng
堵	dǔ
措	cuò
描	miáo
域	yù
捺	nà
掩	yǎn
捷	jié
排	pái
排	pǎi
焉	yān
掉	diào
捶	chuí
赦	shè
堆	duī
推	tuī
埠	bù
掀	xiān
授	shòu
捻	niǎn
捻	niē
教	jiào
教	jiāo
掏	tāo
掐	qiā
掠	lüè
掂	diān
培	péi
接	jiē
掷	zhì
控	kòng
探	tàn
据	jù
据	jū
掘	jué
掺	chān
掺	xiān
掺	càn
掺	shǎn
职	zhí
基	jī
聆	líng
勘	kān
聊	liáo
娶	qǔ
著	zhù
著	zhuó
著	zhe
菱	líng
勒	lè
勒	lēi
黄	huáng
菲	fēi
菲	fěi
萌	méng
萝	luó
菌	jūn
菌	jùn
萎	wěi
菜	cài
萄	táo
菊	jú
菩	pú
萍	píng
菠	bō
萤	yíng
营	yíng
乾	qián
乾	gān
萧	xiāo
萨	sà
菇	gū
械	xiè
彬	bīn
梦	mèng
婪	lán
梗	gěng
梧	wú
梢	shāo
梢	sào
梅	méi
检	jiǎn
梳	shū
梯	tī
桶	tǒng
梭	suō
救	jiù
曹	cáo
副	fù
副	pì
票	piào
票	piāo
酝	yùn
酗	xù
厢	xiāng
戚	qī
硅	guī
硕	shuò
硕	shí
奢	shē
盔	kuī
爽	shuǎng
聋	lóng
袭	xí
盛	shèng
盛	chéng
匾	biǎn
雪	xuě
辅	fǔ
辆	liàng
颅	lú
虚	xū
彪	biāo
雀	què
雀	qiāo
雀	qiǎo
堂	táng
常	cháng
眶	kuàng
匙	chí
匙	shi
晨	chén
睁	zhēng
眯	mī
眯	mí
眼	yǎn
悬	xuán
野	yě
啪	pā
啦	lā
啦	la
曼	màn
晦	huì
晚	wǎn
啄	zhuó
啡	fēi
距	jù
趾	zhǐ
啃	kěn
跃	yuè
略	lüè
蚯	qiū
蛀	zhù
蛇	shé
蛇	yí
唬	hǔ
唬	xià
累	léi
累	lěi
累	lèi
鄂	è
唱	chàng
患	huàn
啰	luō
啰	luó
啰	luo
唾	tuò
唯	wéi
啤	pí
啥	shá
啸	xiào
崖	yá
崎	qí
崭	zhǎn
崭	chán
逻	luó
崔	cuī
帷	wéi
崩	bēng
崇	chóng
崛	jué
婴	yīng
圈	quān
圈	juàn
圈	juān
铐	kào
铛	dāng
铛	chēng
铝	lǚ
铜	tóng
铭	míng
铲	chǎn
银	yín
矫	jiǎo
矫	jiáo
甜	tián
秸	jiē
梨	lí
犁	lí
秽	huì
移	yí
笨	bèn
笼	lóng
笼	lǒng
笛	dí
笙	shēng
符	fú
第	dì
敏	mǐn
做	zuò
袋	dài
悠	yōu
偿	cháng
偶	ǒu
偎	wēi
偷	tōu
您	nín
售	shòu
停	tíng
偏	piān
躯	qū
兜	dōu
假	jiǎ
假	jià
衅	xìn
徘	pái
徙	xǐ
得	dé
得	děi
得	de
衔	xián
盘	pán
舶	bó
船	chuán
舵	duò
斜	xié
盒	hé
鸽	gē
敛	liǎn
悉	xī
欲	yù
彩	cǎi
领	lǐng
脚	jiǎo
脚	jué
脖	bó
脯	fǔ
脯	pǔ
豚	tún
脸	liǎn
脱	tuō
象	xiàng
够	gòu
逸	yì
猜	cāi
猪	zhū
猎	liè
猫	māo
猫	máo
凰	huáng
猖	chāng
猛	měng
祭	jì
祭	zhài
馅	xiàn
馆	guǎn
凑	còu
减	jiǎn
毫	háo
烹	pēng
庶	shù
麻	má
庵	ān
痊	quán
痒	yǎng
痕	hén
廊	láng
康	kāng
庸	yōng
鹿	lù
盗	dào
章	zhāng
竟	jìng
商	shāng
族	zú
旋	xuán
旋	xuàn
望	wàng
率	shuài
率	lǜ
阎	yán
阐	chǎn
着	zhe
着	zhuó
着	zháo
着	zhāo
羚	líng
盖	gài
盖	gě
盖	hé
眷	juàn
粘	nián
粘	zhān
粗	cū
粒	lì
断	duàn
剪	jiǎn
兽	shòu
焊	hàn
焕	huàn
清	qīng
添	tiān
鸿	hóng
淋	lín
淋	lìn
涯	yá
淹	yān
渠	qú
渠	jù
渐	jiàn
渐	jiān
淑	shū
淌	tǎng
淌	chǎng
混	hùn
混	hún
淮	huái
淆	xiáo
渊	yuān
淫	yín
渔	yú
淘	táo
淳	chún
淳	zhūn
液	yè
淤	yū
淡	dàn
淀	diàn
深	shēn
涮	shuàn
涵	hán
婆	pó
梁	liáng
渗	shèn
情	qíng
惜	xī
惭	cán
悼	dào
惧	jù
惕	tì
惟	wéi
惊	jīng
惦	diàn
悴	cuì
惋	wǎn
惨	cǎn
惯	guàn
寇	kòu
寅	yín
寄	jì
寂	jì
宿	sù
宿	xiǔ
宿	xiù
窒	zhì
窑	yáo
密	mì
谋	móu
谍	dié
谎	huǎng
谐	xié
袱	fú
祷	dǎo
祸	huò
谓	wèi
谚	yàn
谜	mí
谜	mèi
逮	dài
敢	gǎn
尉	wèi
尉	yù
屠	tú
弹	dàn
弹	tán
隋	suí
隋	duò
堕	duò
堕	huī
随	suí
蛋	dàn
隅	yú
隆	lóng
隐	yǐn
隐	yìn
婚	hūn
婶	shěn
婉	wǎn
颇	pō
颈	jǐng
颈	gěng
绩	jì
绪	xù
续	xù
骑	qí
绰	chuò
绰	chāo
绳	shéng
维	wéi
绵	mián
绷	bēng
绷	běng
绷	bèng
绸	chóu
综	zōng
综	zèng
绽	zhàn
绿	lǜ
绿	lù
缀	zhuì
巢	cháo
琴	qín
琳	lín
琢	zhuó
琢	zuó
琼	qióng
斑	bān
替	tì
揍	zòu
款	kuǎn
堪	kān
塔	tǎ
搭	dā
堰	yàn
揩	kāi
越	yuè
趁	chèn
趋	qū
趋	cù
超	chāo
揽	lǎn
堤	dī
提	tí
提	dī
提	dǐ
博	bó
揭	jiē
揭	qì
喜	xǐ
彭	péng
彭	bāng
揣	chuǎi
揣	chuài
揣	chuāi
揣	tuán
揣	zhuī
插	chā
揪	jiū
搜	sōu
煮	zhǔ
援	yuán
搀	chān
裁	cái
搁	gē
搁	gé
搓	cuō
搂	lǒu
搂	lōu
搅	jiǎo
壹	yī
握	wò
搔	sāo
揉	róu
斯	sī
期	qī
期	jī
欺	qī
联	lián
葫	hú
散	sàn
散	sǎn
惹	rě
葬	zàng
募	mù
葛	gé
葛	gě
董	dǒng
葡	pú
敬	jìng
葱	cōng
蒋	jiǎng
蒂	dì
落	là
落	luò
落	lào
韩	hán
朝	zhāo
朝	cháo
辜	gū
葵	kuí
棒	bàng
棱	léng
棱	lēng
棱	líng
棋	qí
椰	yē
植	zhí
森	sēn
焚	fén
椅	yǐ
椅	yī
椒	jiāo
棵	kē
棍	gùn
棍	hùn
椎	zhuī
椎	chuí
棉	mián
棚	péng
棕	zōng
棺	guān
榔	láng
椭	tuǒ
惠	huì
惑	huò
逼	bī
粟	sù
棘	jí
酣	hān
酥	sū
厨	chú
厦	shà
厦	xià
硬	yìng
硝	xiāo
确	què
硫	liú
雁	yàn
殖	zhí
殖	shi
裂	liè
裂	liě
雄	xióng
颊	jiá
雳	lì
暂	zàn
雅	yǎ
翘	qiáo
翘	qiào
辈	bèi
悲	bēi
紫	zǐ
凿	záo
辉	huī
敞	chǎng
棠	táng
赏	shǎng
掌	zhǎng
晴	qíng
睐	lài
暑	shǔ
最	zuì
晰	xī
量	liáng
量	liàng
鼎	dǐng
喷	pēn
喷	pèn
喳	zhā
喳	chā
晶	jīng
喇	lǎ
遇	yù
喊	hǎn
遏	è
晾	liàng
景	jǐng
景	yǐng
畴	chóu
践	jiàn
跋	bá
跌	diē
跑	pǎo
跑	páo
跛	bǒ
遗	yí
遗	wèi
蛙	wā
蛛	zhū
蜓	tíng
蜒	yán
蛤	gé
蛤	há
喝	hē
喝	hè
喝	yè
鹃	juān
喂	wèi
喘	chuǎn
喉	hóu
喻	yù
啼	tí
喧	xuān
嵌	qiàn
嵌	kàn
幅	fú
帽	mào
赋	fù
赌	dǔ
赎	shú
赐	cì
赔	péi
黑	hēi
铸	zhù
铺	pū
铺	pù
链	liàn
销	xiāo
锁	suǒ
锄	chú
锅	guō
锈	xiù
锋	fēng
锌	xīn
锐	ruì
甥	shēng
掰	bāi
短	duǎn
智	zhì
氮	dàn
毯	tǎn
氯	lǜ
鹅	é
剩	shèng
稍	shāo
稍	shào
程	chéng
稀	xī
税	shuì
筐	kuāng
等	děng
筑	zhù
筑	zhú
策	cè
筛	shāi
筒	tǒng
筏	fá
答	dá
答	dā
筋	jīn
筝	zhēng
傲	ào
傅	fù
牌	pái
堡	bǎo
堡	bǔ
堡	pù
集	jí
焦	jiāo
傍	bàng
储	chǔ
皓	hào
皖	wǎn
粤	yuè
奥	ào
奥	yù
街	jiē
惩	chéng
御	yù
循	xún
艇	tǐng
舒	shū
逾	yú
番	fān
番	pān
释	shì
禽	qín
腊	là
腊	xī
脾	pí
腋	yè
腔	qiāng
腕	wàn
鲁	lǔ
猩	xīng
猬	wèi
猾	huá
猴	hóu
惫	bèi
然	rán
馈	kuì
馋	chán
装	zhuāng
蛮	mán
就	jiù
敦	dūn
敦	duì
斌	bīn
痘	dòu
痢	lì
痪	huàn
痛	tòng
童	tóng
竣	jùn
阔	kuò
善	shàn
翔	xiáng
羡	xiàn
普	pǔ
粪	fèn
尊	zūn
奠	diàn
道	dào
遂	suì
曾	zēng
曾	céng
焰	yàn
港	gǎng
港	jiǎng
滞	zhì
湖	hú
湘	xiāng
渣	zhā
渤	bó
渺	miǎo
湿	shī
温	wēn
渴	kě
溃	kuì
溃	huì
溅	jiàn
溅	jiān
滑	huá
湃	pài
渝	yú
湾	wān
渡	dù
游	yóu
滋	zī
渲	xuàn
溉	gài
愤	fèn
慌	huāng
惰	duò
愕	è
愣	lèng
惶	huáng
愧	kuì
愉	yú
愉	tōu
慨	kǎi
割	gē
寒	hán
富	fù
寓	yù
窜	cuàn
窝	wō
窖	jiào
窗	chuāng
窘	jiǒng
遍	biàn
雇	gù
裕	yù
裤	kù
裙	qún
禅	chán
禅	shàn
禄	lù
谢	xiè
谣	yáo
谤	bàng
谦	qiān
犀	xī
属	shǔ
属	zhǔ
屡	lǚ
强	qiáng
强	qiǎng
强	jiàng
粥	zhōu
粥	yù
疏	shū
隔	gé
隙	xì
隘	ài
媒	méi
絮	xù
嫂	sǎo
媚	mèi
婿	xù
登	dēng
缅	miǎn
缆	lǎn
缉	jī
缉	qī
缎	duàn
缓	huǎn
缔	dì
缕	lǚ
骗	piàn
编	biān
骚	sāo
骚	sǎo
缘	yuán
瑟	sè
鹉	wǔ
瑞	ruì
瑰	guī
瑙	nǎo
魂	hún
肆	sì
摄	shè
摄	niè
摸	mō
填	tián
填	zhèn
搏	bó
塌	tā
鼓	gǔ
摆	bǎi
携	xié
搬	bān
摇	yáo
搞	gǎo
塘	táng
摊	tān
聘	pìn
斟	zhēn
蒜	suàn
勤	qín
靴	xuē
靶	bǎ
鹊	què
蓝	lán
墓	mù
幕	mù
蓬	péng
蓄	xù
蒲	pú
蓉	róng
蒙	mēng
蒙	méng
蒙	měng
蒸	zhēng
献	xiàn
椿	chūn
禁	jīn
禁	jìn
楚	chǔ
楷	kǎi
楷	jiē
榄	lǎn
想	xiǎng
槐	huái
榆	yú
楼	lóu
概	gài
赖	lài
酪	lào
酬	chóu
感	gǎn
碍	ài
碘	diǎn
碑	bēi
碎	suì
碰	pèng
碗	wǎn
碌	lù
碌	liù
尴	gān
雷	léi
零	líng
雾	wù
雹	báo
辐	fú
辑	jí
输	shū
督	dū
频	pín
频	bīn
龄	líng
鉴	jiàn
睛	jīng
睹	dǔ
睦	mù
瞄	miáo
睫	jié
睡	shuì
睬	cǎi
嗜	shì
鄙	bǐ
嗦	suō
愚	yú
暖	nuǎn
盟	méng
歇	xiē
暗	àn
暇	xiá
照	zhào
畸	jī
跨	kuà
跷	qiāo
跳	tiào
跳	táo
跺	duò
跪	guì
路	lù
跤	jiāo
跟	gēn
遣	qiǎn
蜈	wú
蜗	wō
蛾	é
蛾	yǐ
蜂	fēng
蜕	tuì
嗅	xiù
嗡	wēng
嗓	sǎng
署	shǔ
置	zhì
罪	zuì
罩	zhào
蜀	shǔ
幌	huǎng
错	cuò
锚	máo
锡	xī
锣	luó
锤	chuí
锥	zhuī
锦	jǐn
键	jiàn
锯	jù
锰	měng
矮	ǎi
辞	cí
稚	zhì
稠	chóu
颓	tuí
愁	chóu
筹	chóu
签	qiān
简	jiǎn
筷	kuài
毁	huǐ
舅	jiù
鼠	shǔ
催	cuī
傻	shǎ
像	xiàng
躲	duǒ
魁	kuí
衙	yá
微	wēi
愈	yù
遥	yáo
腻	nì
腰	yāo
腥	xīng
腮	sāi
腹	fù
腺	xiàn
鹏	péng
腾	téng
腿	tuǐ
鲍	bào
猿	yuán
颖	yǐng
触	chù
解	jiě
解	jiè
解	xiè
煞	shā
煞	shà
雏	chú
馍	mó
馏	liù
馏	liú
酱	jiàng
禀	bǐng
痹	bì
廓	kuò
痴	chī
痰	tán
廉	lián
靖	jìng
新	xīn
韵	yùn
意	yì
誊	téng
粮	liáng
数	shù
数	shǔ
数	shuò
煎	jiān
塑	sù
慈	cí
煤	méi
煌	huáng
满	mǎn
漠	mò
滇	diān
源	yuán
滤	lǜ
滥	làn
滔	tāo
溪	xī
溜	liū
溜	liù
漓	lí
滚	gǔn
溢	yì
溯	sù
滨	bīn
溶	róng
溺	nì
溺	niào
粱	liáng
滩	tān
慎	shèn
誉	yù
塞	sāi
塞	sài
塞	sè
寞	mò
窥	kuī
窟	kū
寝	qǐn
谨	jǐn
褂	guà
裸	luǒ
福	fú
谬	miù
群	qún
殿	diàn
辟	bì
辟	pì
障	zhàng
媳	xí
嫉	jí
嫌	xián
嫁	jià
叠	dié
缚	fù
缝	féng
缝	fèng
缠	chán
缤	bīn
剿	jiǎo
剿	chāo
静	jìng
碧	bì
璃	lí
赘	zhuì
熬	āo
熬	áo
墙	qiáng
墟	xū
嘉	jiā
摧	cuī
赫	hè
截	jié
誓	shì
境	jìng
摘	zhāi
摔	shuāi
撇	piē
撇	piě
聚	jù
慕	mù
暮	mù
摹	mó
蔓	màn
蔓	wàn
蔑	miè
蔡	cài
蔗	zhè
蔽	bì
蔼	ǎi
熙	xī
蔚	wèi
蔚	yù
兢	jīng
模	mó
模	mú
槛	jiàn
槛	kǎn
榴	liú
榜	bǎng
榜	bàng
榨	zhà
榕	róng
歌	gē
遭	zāo
酵	jiào
酷	kù
酿	niàng
酸	suān
碟	dié
碱	jiǎn
碳	tàn
磁	cí
愿	yuàn
需	xū
辖	xiá
辗	zhǎn
辗	niǎn
雌	cí
裳	cháng
裳	shang
颗	kē
瞅	chǒu
墅	shù
嗽	sòu
踊	yǒng
蜻	qīng
蜡	là
蜡	zhà
蝇	yíng
蜘	zhī
蝉	chán
嘛	má
嘛	ma
嘀	dí
赚	zhuàn
锹	qiāo
锻	duàn
镀	dù
舞	wǔ
舔	tiǎn
稳	wěn
熏	xūn
熏	xùn
箕	jī
算	suàn
箩	luó
管	guǎn
箫	xiāo
舆	yú
僚	liáo
僧	sēng
鼻	bí
魄	pò
魄	tuò
魄	bó
魅	mèi
貌	mào
膜	mó
膊	bó
膀	bǎng
膀	páng
鲜	xiān
鲜	xiǎn
疑	yí
疑	nǐ
孵	fū
馒	mán
裹	guǒ
敲	qiāo
豪	háo
膏	gāo
膏	gào
遮	zhē
腐	fǔ
瘩	dá
瘩	da
瘟	wēn
瘦	shòu
辣	là
彰	zhāng
竭	jié
端	duān
旗	qí
精	jīng
粹	cuì
歉	qiàn
弊	bì
熄	xī
熔	róng
煽	shān
潇	xiāo
漆	qī
漱	shù
漂	piāo
漂	piǎo
漂	piào
漫	màn
滴	dī
漾	yàng
演	yǎn
漏	lòu
慢	màn
慷	kāng
寨	zhài
赛	sài
寡	guǎ
察	chá
蜜	mì
寥	liáo
谭	tán
肇	zhào
褐	hè
褪	tuì
褪	tùn
谱	pǔ
隧	suì
嫩	nèn
翠	cuì
熊	xióng
凳	dèng
骡	luó
缩	suō
缩	sù
慧	huì
撵	niǎn
撕	sī
撒	sā
撒	sǎ
撩	liāo
撩	liáo
趣	qù
趣	cù
趟	tàng
趟	tāng
撑	chēng
撮	cuō
撮	zuǒ
撬	qiào
播	bō
擒	qín
墩	dūn
撞	zhuàng
撤	chè
增	zēng
撰	zhuàn
聪	cōng
鞋	xié
鞍	ān
蕉	jiāo
蕉	qiáo
蕊	ruǐ
蔬	shū
蕴	yùn
横	héng
横	hèng
槽	cáo
樱	yīng
橡	xiàng
樟	zhāng
橄	gǎn
敷	fū
豌	wān
飘	piāo
醋	cù
醇	chún
醉	zuì
磕	kē
磊	lěi
磅	bàng
磅	páng
碾	niǎn
震	zhèn
霄	xiāo
霉	méi
瞒	mán
瞒	mén
题	tí
暴	bào
暴	pù
瞎	xiā
嘻	xī
嘶	sī
嘲	cháo
嘲	zhāo
嘹	liáo
影	yǐng
踢	tī
踏	tà
踩	cǎi
踪	zōng
蝶	dié
蝴	hú
蝠	fú
蝎	xiē
蝌	kē
蝗	huáng
蝙	biān
嘿	hēi
嘿	mò
嘱	zhǔ
幢	chuáng
幢	zhuàng
墨	mò
镇	zhèn
镐	gǎo
镐	hào
镑	bàng
靠	kào
稽	jī
稽	qǐ
稻	dào
黎	lí
稿	gǎo
稼	jià
箱	xiāng
篓	lǒu
箭	jiàn
篇	piān
僵	jiāng
躺	tǎng
僻	pì
德	dé
艘	sōu
膝	xī
膛	táng
鲤	lǐ
鲫	jì
熟	shú
熟	shóu
摩	mó
摩	mā
褒	bāo
瘪	biē
瘪	biě
瘤	liú
瘫	tān
凛	lǐn
颜	yán
毅	yì
糊	hū
糊	hú
糊	hù
遵	zūn
憋	biē
潜	qián
澎	péng
潮	cháo
潭	tán
鲨	shā
澳	ào
潘	pān
澈	chè
澜	lán
澄	chéng
澄	dèng
懂	dǒng
憔	qiáo
懊	ào
憎	zēng
额	é
翩	piān
褥	rù
谴	qiǎn
鹤	hè
憨	hān
慰	wèi
劈	pī
劈	pǐ
履	lǚ
豫	yù
缭	liáo
撼	hàn
擂	léi
擂	lèi
操	cāo
擅	shàn
燕	yàn
燕	yān
蕾	lěi
薯	shǔ
薛	xuē
薇	wēi
擎	qíng
薪	xīn
薄	báo
薄	bó
薄	bò
颠	diān
翰	hàn
噩	è
橱	chú
橙	chéng
橘	jú
整	zhěng
融	róng
瓢	piáo
醒	xǐng
霍	huò
霎	shà
辙	zhé
冀	jì
餐	cān
嘴	zuǐ
踱	duó
蹄	tí
蹂	róu
蟆	má
蟆	mò
螃	páng
器	qì
噪	zào
鹦	yīng
赠	zèng
默	mò
黔	qián
镜	jìng
赞	zàn
穆	mù
篮	lán
篡	cuàn
篷	péng
篱	lí
儒	rú
邀	yāo
衡	héng
膨	péng
雕	diāo
鲸	jīng
磨	mó
磨	mò
瘾	yǐn
瘸	qué
凝	níng
辨	biàn
辩	biàn
糙	cāo
糖	táng
糕	gāo
燃	rán
濒	bīn
澡	zǎo
激	jī
懒	lǎn
憾	hàn
懈	xiè
窿	lóng
壁	bì
避	bì
缰	jiāng
缴	jiǎo
缴	zhuó
戴	dài
擦	cā
藉	jiè
藉	jí
鞠	jū
藏	cáng
藏	zàng
藐	miǎo
檬	méng
檐	yán
檀	tán
礁	jiāo
磷	lín
霜	shuāng
霞	xiá
瞭	liǎo
瞭	liào
瞧	qiáo
瞬	shùn
瞳	tóng
瞩	zhǔ
瞪	dèng
曙	shǔ
蹋	tà
蹈	dǎo
螺	luó
蟋	xī
蟀	shuài
嚎	háo
赡	shàn
穗	suì
魏	wèi
簧	huáng
簇	cù
繁	fán
繁	pó
徽	huī
爵	jué
朦	méng
臊	sāo
臊	sào
鳄	è
癌	ái
辫	biàn
赢	yíng
糟	zāo
糠	kāng
燥	zào
懦	nuò
豁	huō
豁	huò
豁	huá
臀	tún
臂	bì
臂	bei
翼	yì
骤	zhòu
藕	ǒu
鞭	biān
藤	téng
覆	fù
瞻	zhān
蹦	bèng
嚣	xiāo
嚣	áo
镰	lián
翻	fān
鳍	qí
鹰	yīng
瀑	pù
瀑	bào
襟	jīn
璧	bì
戳	chuō
孽	niè
警	jǐng
蘑	mó
藻	zǎo
攀	pān
曝	pù
曝	bào
蹲	dūn
蹲	cún
蹭	cèng
蹬	dēng
巅	diān
簸	bò
簸	bǒ
簿	bù
簿	bó
蟹	xiè
颤	chàn
颤	zhàn
靡	mí
癣	xuǎn
瓣	bàn
羹	gēng
鳖	biē
爆	bào
疆	jiāng
疆	qiáng
鬓	bìn
壤	rǎng
馨	xīn
耀	yào
躁	zào
蠕	rú
嚼	jiáo
嚼	jué
嚼	jiào
嚷	rǎng
嚷	rāng
巍	wēi
籍	jí
鳞	lín
魔	mó
糯	nuò
灌	guàn
譬	pì
蠢	chǔn
霸	bà
露	lòu
露	lù
霹	pī
躏	lìn
黯	àn
髓	suǐ
赣	gàn
囊	náng
囊	nāng
镶	xiāng
瓤	ráng
罐	guàn
矗	chù
乂	yì
乜	miē
乜	niè
兀	wù
弋	yì
孑	jié
孓	jué
幺	yāo
亓	qí
韦	wéi
